2026-08-06 17:46:59,506 INFO diagnostics active
2026-08-06 17:46:59,743 INFO stage: fire
2026-08-06 17:46:59,744 INFO FireSVMDetector.fit() starting
2026-08-06 17:47:00,209 INFO fire-train frames: 500 items, 0.5s elapsed
2026-08-06 17:47:00,606 INFO fire-train frames: 1000 items, 0.9s elapsed
2026-08-06 17:47:01,009 INFO fire-train frames: 1500 items, 1.3s elapsed
2026-08-06 17:47:01,347 INFO fire-train frames: 2000 items, 1.6s elapsed
2026-08-06 17:47:01,777 INFO fire-train frames: 2500 items, 2.0s elapsed
2026-08-06 17:47:02,266 INFO fire-train frames: 3000 items, 2.5s elapsed
2026-08-06 17:47:02,687 INFO fire-train frames: 3500 items, 2.9s elapsed
2026-08-06 17:47:03,364 INFO fire-train frames: 4000 items, 3.6s elapsed
2026-08-06 17:47:03,905 INFO fire-train frames: 4500 items, 4.2s elapsed
2026-08-06 17:47:04,454 INFO fire-train frames: 5000 items, 4.7s elapsed
2026-08-06 17:47:04,937 INFO fire-train frames: 5500 items, 5.2s elapsed
2026-08-06 17:47:05,417 INFO fire-train frames: 6000 items, 5.7s elapsed
2026-08-06 17:47:06,538 INFO fire-train frames: 6500 items, 6.8s elapsed
2026-08-06 17:47:06,998 INFO fire-train frames: 7000 items, 7.3s elapsed
2026-08-06 17:47:07,406 INFO fire-train frames: 7500 items, 7.7s elapsed
2026-08-06 17:47:07,828 INFO fire-train frames: 8000 items, 8.1s elapsed
2026-08-06 17:47:08,293 INFO fire-train frames: 8500 items, 8.5s elapsed
2026-08-06 17:47:08,775 INFO fire-train frames: 9000 items, 9.0s elapsed
2026-08-06 17:47:09,264 INFO fire-train frames: 9500 items, 9.5s elapsed
2026-08-06 17:47:09,386 INFO fire-train frames: 10000 items, 9.6s elapsed
2026-08-06 17:47:09,503 INFO fire-train frames: 10500 items, 9.8s elapsed
2026-08-06 17:47:09,660 INFO fire-train frames: 11000 items, 9.9s elapsed
2026-08-06 17:47:09,800 INFO fire-train frames: 11500 items, 10.1s elapsed
2026-08-06 17:47:09,970 INFO fire-train frames: 12000 items, 10.2s elapsed
2026-08-06 17:47:10,078 INFO fire-train frames: 12500 items, 10.3s elapsed
2026-08-06 17:47:10,198 INFO fire-train frames: 13000 items, 10.5s elapsed
2026-08-06 17:47:10,521 INFO fire-train frames: 13500 items, 10.8s elapsed
2026-08-06 17:47:11,175 INFO fire-train frames: 14000 items, 11.4s elapsed
2026-08-06 17:47:11,630 INFO fire-train frames: 14500 items, 11.9s elapsed
2026-08-06 17:47:12,066 INFO fire-train frames: 15000 items, 12.3s elapsed
2026-08-06 17:47:12,515 INFO fire-train frames: 15500 items, 12.8s elapsed
